"ID" "Maternal_Parent" "Data_Set" "Delta_CT" "Delta_CT_OG" "Fes_to_Epi_Ratio" "Standard" "Alkaloid_Plate" "ng.g" "Extraction_Date" "Extractor" "Harvest_Date"
"302-2-46" "302" "81-160" 7.158 -3.45333333333333 1.48720392050095 "First_combo" "7" 6849.342 "05/01/23" "Holly" "2/7/2023"
"302-2-6" "302" "81-160" 5.617 -5.51666666666667 1.36686042714388 "First_combo" "5" 11866.943 "05/01/23" "Holly" "2/7/2023"
"302-3-13" "302" NA NA NA NA NA "8" 10479.794 NA NA "2/7/2023"
"302-3-14" "302" "81-160" 6.999 -2.96333333333333 1.50680666183925 "First_combo" NA NA "05/01/23" "Holly" "2/7/2023"
"302-3-16" "302" "81-160" 6.666 -3.51 1.47347112721074 "First_combo" NA NA "05/01/23" "Holly" "2/7/2023"
"302-3-17" "302" "81-160" 5.914 -5.4 1.37980861858583 "First_combo" "9" 8750.749 "05/01/23" "Holly" "2/7/2023"
"302-3-2" "302" "81-160" 7.492 -3.48666666666667 1.49266785033208 "First_combo" "7" 10254.241 "05/01/23" "Holly" "2/7/2023"
"302-3-20" "302" "81-160" 7.635 -3.19666666666667 1.50845764517848 "First_combo" "9" 5892.673 "05/01/23" "Holly" "2/10/2023"
"302-3-23" "302" "81-160" 6.91 -3.52 1.47873077456007 "First_combo" "9" 8071.11 "05/01/23" "Holly" "2/10/2023"
"302-3-24" "302" "81-160" 8.2 -2.63333333333334 1.54485049833887 "First_combo" NA NA "05/01/23" "Holly" "2/10/2023"
"302-3-27" "302" "81-160" 8.371 -2.88333333333333 1.535744 "First_combo" "9" 15644.686 "05/01/23" "Darrian" "2/10/2023"
"302-3-28" "302" "81-160" 8.326 -2.56333333333333 1.55022468939995 "First_combo" "10" 9563.277 "05/01/23" "Darrian" "2/10/2023"
"302-3-29" "302" "81-160" 9.227 -1.72333333333333 1.60445463478546 "First_combo" "10" 8478.167 "05/01/23" "Darrian" "2/10/2023"
"302-3-3" "302" "81-160" 6.787 -4.25 1.44516594516595 "First_combo" "7" 12465.039 "05/01/23" "Darrian" "2/10/2023"
"302-3-30" "302" NA NA NA NA NA "10" 15915.928 NA NA "2/10/2023"
"302-3-31" "302" "81-160" 7.817 -3.67666666666667 1.4910484326905 "First_combo" "10" 14199.38 "05/01/23" "Darrian" "2/10/2023"
"302-3-32" "302" "81-160" 8.388 -3.28666666666667 1.51796961837718 "First_combo" "11" 8771.535 "05/01/23" "Darrian" "2/10/2023"
"302-3-36" "302" "81-160" 6.983 -3.91666666666666 1.46330944798301 "First_combo" "11" 11426.07 "05/01/23" "Darrian" "2/10/2023"
"302-3-40" "302" "81-160" 7.816 -3.13333333333333 1.51475237091675 "First_combo" "11" 14848.415 "05/01/23" "Darrian" "2/7/2023"
"302-3-41" "302" "81-160" 6.365 -4.64333333333333 1.41919125395153 "First_combo" "11" 8460.64 "05/01/23" "Darrian" "2/7/2023"
"302-3-42" "302" "1281-1325-R" -17.795 -3.79666666666667 0.479982466393922 "Second_combo" "12" 9894.815 "05/01/23" "Darrian" "2/7/2023"
"302-3-43" "302" "81-160" 6.945 -3.83 1.46604482619783 "First_combo" "12" 4807.254 "05/01/23" "Darrian" "2/7/2023"
"302-3-44" "302" "81-160" 7.33 -4.30333333333333 1.45584577114428 "First_combo" "12" 5864.309 "05/01/23" "Darrian" "2/7/2023"
"302-3-45" "302" "81-160" 6.684 -3.62 1.46895390444117 "First_combo" "12" 15620.713 "05/01/23" "Darrian" "2/7/2023"
"302-3-46" "302" "81-160" 6.269 -4.34 1.42821038251366 "First_combo" "13" 6682.415 "05/01/23" "Darrian" "2/7/2023"
"302-3-48" "302" NA NA NA NA NA "13" 6107.855 NA NA "2/7/2023"
"302-3-49" "302" "81-160" 5.858 -5.3 1.38142987368147 "First_combo" NA NA "05/01/23" "Darrian" "2/7/2023"
"302-3-5" "302" "81-160" 6.8 -4.25 1.44546347854569 "First_combo" "8" 13936.759 "05/01/23" "Darrian" "2/7/2023"
"302-3-7" "302" "81-160" 6.553 -5.27666666666667 1.4020245398773 "First_combo" "8" 23164.404 "05/01/23" "Darrian" "2/7/2023"
"302-3-8" "302" "81-160" 6.816 -4.46666666666667 1.43751203543231 "First_combo" NA NA "05/01/23" "Darrian" "2/7/2023"
"302-3-9" "302" "81-160" 6.397 -4.41666666666667 1.42869588527007 "First_combo" "8" 18821.904 "05/01/23" "Darrian" "2/20/2023"
"302-4-13" "302" "81-160" 5.595 -5.49666666666667 1.3668130859503 "First_combo" "13" 12002.44 "05/01/23" "Darrian" "2/20/2023"
"302-4-15" "302" "81-160" 5.13 -5.35333333333334 1.35605219322599 "First_combo" NA NA "05/01/23" "Holly" "2/20/2023"
"302-4-17" "302" "81-160" 5.655 -4.8 1.39273560663935 "First_combo" "14" 16204.726 "05/01/23" "Holly" "2/20/2023"
"302-4-19" "302" "81-160" 7.565 -3.06 1.51343830595901 "First_combo" "14" 14007.709 "05/01/23" "Holly" "2/20/2023"
"302-4-2" "302" "81-160" 5.023 -5.51 1.34713199723566 "First_combo" "13" 7219.05 "05/01/23" "Holly" "2/20/2023"
"302-4-21" "302" "81-160" 4.872 -5.87666666666667 1.33026030368764 "First_combo" "14" 13994.803 "05/01/23" "Holly" "2/20/2023"
"302-4-23" "302" "81-160" 5.992 -4.42666666666667 1.41700883847171 "First_combo" "14" 10403.79 "05/01/23" "Holly" "2/20/2023"
"302-4-28" "302" "81-160" 7.567 -2.78333333333333 1.52683979669985 "First_combo" "15" 18741.272 "05/01/23" "Holly" "2/20/2023"
"302-4-3" "302" "81-160" 4.706 -6.86333333333333 1.29690851735016 "First_combo" NA NA "05/01/23" "Holly" "2/20/2023"
"302-4-30" "302" NA NA NA NA NA "15" 4651.811 NA NA "2/20/2023"
"302-4-33" "302" NA NA NA NA NA "15" 7488.545 NA NA "2/20/2023"
"302-4-36" "302" "81-160" 6.818 -4.65333333333333 1.43061959199141 "First_combo" NA NA "05/01/23" "Holly" "2/15/2023"
"302-4-38" "302" "81-160" 4.634 -6.88333333333333 1.2937559429477 "First_combo" "15" 3382.537 "05/01/23" "Holly" "2/15/2023"
"302-4-39" "302" NA NA NA NA NA "15" 4737.604 NA NA "2/15/2023"
"302-4-41" "302" "81-160" 8.685 -2.85333333333334 1.54196567862715 "First_combo" NA NA "05/01/23" "Holly" "2/15/2023"
"302-4-42" "302" "81-160" 8.467 -2.67666666666667 1.54692849299141 "First_combo" "16" 8251.842 "05/01/23" "Holly" "2/15/2023"
"302-4-43" "302" "81-160" 5.724 -4.50333333333333 1.40607264472191 "First_combo" NA NA "05/01/23" "Holly" "2/15/2023"
"302-4-44" "302" "81-160" 7.361 -3.2 1.50293796119158 "First_combo" "16" 14250.855 "05/01/23" "Holly" "2/15/2023"
"302-4-45" "302" NA NA NA NA NA "16" 12598.998 NA NA "2/15/2023"
"302-4-46" "302" "81-160" 5.861 -4.63666666666667 1.40510091235831 "First_combo" "16" 7296.893 "05/01/23" "Holly" "2/15/2023"
"302-4-47" "302" "81-160" 6.177 -4.64333333333333 1.41398029622679 "First_combo" "16" 8121.11 "05/01/23" "Holly" "2/15/2023"
"302-4-9" "302" "81-160" 4.845 -6.62333333333333 1.30818650213091 "First_combo" "13" 5403.027 "05/01/23" "Holly" "2/15/2023"
"302-5-12" "302" NA NA NA NA NA "17" 11844.739 NA NA "2/15/2023"
"302-5-14" "302" "81-160" 5.714 -5.61333333333333 1.36677578791964 "First_combo" "17" 5247.021 "05/01/23" "Holly" "2/15/2023"
"302-5-15" "302" "81-160" 7.424 -3.81 1.47751977873545 "First_combo" "17" 11907.65 "05/01/23" "Holly" "2/15/2023"
"302-5-17" "302" "81-160" 5.523 -5.22333333333333 1.37357954545455 "First_combo" "17" 8616.918 "05/01/23" "Holly" "2/8/2023"
"302-5-18" "302" "81-160" 5.858 -5.99333333333333 1.35954090713803 "First_combo" NA NA "05/01/23" "Darrian" "2/8/2023"
"302-5-20" "302" "81-160" 8.884 -2.42 1.56503211855244 "First_combo" NA NA "05/01/23" "Darrian" "2/8/2023"
"302-5-22" "302" "81-160" 6.795 -3.27333333333333 1.48741123305358 "First_combo" NA NA "05/01/23" "Darrian" "2/8/2023"
"302-5-27" "302" "81-160" 8.332 -2.45 1.55591139578329 "First_combo" NA NA "05/01/23" "Darrian" "2/8/2023"
"302-5-28" "302" "81-160" 6.156 -4.83 1.40652446675031 "First_combo" "17" 3303.364 "05/01/23" "Darrian" "2/8/2023"
"302-5-29" "302" "81-160" 5.867 -5.67666666666667 1.36950497543771 "First_combo" "18" 6125.439 "05/01/23" "Darrian" "2/8/2023"
"302-5-30" "302" "81-160" 6.67 -4.69666666666667 1.42530128164254 "First_combo" "18" 6436.148 "05/01/23" "Darrian" "2/8/2023"
"302-5-31" "302" "81-160" 6.639 -3.81333333333333 1.45947816457886 "First_combo" NA NA "05/01/23" "Darrian" "2/8/2023"
"302-5-42" "302" "81-160" 6.216 -4.39 1.42473522377861 "First_combo" "18" 8814.481 "05/01/23" "Darrian" "2/8/2023"
"302-5-47" "302" "81-160" 7.239 -3.66 1.47988067616838 "First_combo" "18" 6975.906 "05/01/23" "Darrian" "2/16/2023"
"302-5-48" "302" "81-160" 5.954 -4.84333333333333 1.40018819733835 "First_combo" "18" 7136.019 "05/01/23" "Darrian" "2/16/2023"
